,INPUT_DESCRIPTION,MEASUREMENT_TIME,VALUE
2849,Battery Charging.,2020-11-20 09:13:23.306,0
2850,Battery Discharging.,2020-11-20 09:13:23.306,1
2851,Battery MaxCapacity (mWh).,2020-11-20 09:13:23.306,69720
2852,Battery estimatedTime (Seconds).,2020-11-20 09:13:23.306,16012
2853,Battery Current Capacity (mWh),2020-11-20 09:13:23.306,52270
2854,Battery Voltage (mv),2020-11-20 09:13:23.306,16057
2855,Battery Rate (mW),2020-11-20 09:13:23.306,-11801
2856,Battery Tag,2020-11-20 09:14:23.237,5
2857,Battery Designed Capacity (mWh) ,2020-11-20 09:14:23.237,70000
2858,Battery Full Charged Capacity (mWh),2020-11-20 09:14:23.237,69720
2859,Battery Cycle Count,2020-11-20 09:14:23.237,12
2860,Battery Left (%).,2020-11-20 09:14:23.303,75
2861,Battery Flag,2020-11-20 09:14:23.303,1
2862,Battery Life Time (Seconds).,2020-11-20 09:14:23.303,16012
2863,Battery Charging.,2020-11-20 09:14:23.303,0
2864,Battery Discharging.,2020-11-20 09:14:23.303,1
2865,Battery MaxCapacity (mWh).,2020-11-20 09:14:23.303,69720
2866,Battery estimatedTime (Seconds).,2020-11-20 09:14:23.303,16012
2867,Battery Current Capacity (mWh),2020-11-20 09:14:23.303,52090
2868,Battery Voltage (mv),2020-11-20 09:14:23.303,16005
2869,Battery Rate (mW),2020-11-20 09:14:23.303,-10851
2870,Battery Tag,2020-11-20 09:14:53.237,5
2871,Battery Designed Capacity (mWh) ,2020-11-20 09:14:53.237,70000
2872,Battery Full Charged Capacity (mWh),2020-11-20 09:14:53.237,69720
2873,Battery Cycle Count,2020-11-20 09:14:53.237,12
2874,Battery Left (%).,2020-11-20 09:14:53.305,75
2875,Battery Flag,2020-11-20 09:14:53.305,1
2876,Battery Life Time (Seconds).,2020-11-20 09:14:53.305,16012
2877,Battery Charging.,2020-11-20 09:14:53.305,0
2878,Battery Discharging.,2020-11-20 09:14:53.305,1
2879,Battery MaxCapacity (mWh).,2020-11-20 09:14:53.305,69720
2880,Battery estimatedTime (Seconds).,2020-11-20 09:14:53.305,16012
2881,Battery Current Capacity (mWh),2020-11-20 09:14:53.305,52000
2882,Battery Voltage (mv),2020-11-20 09:14:53.305,16017
2883,Battery Rate (mW),2020-11-20 09:14:53.305,-10763
2884,Battery Tag,2020-11-20 09:15:23.236,5
2885,Battery Designed Capacity (mWh) ,2020-11-20 09:15:23.236,70000
2886,Battery Full Charged Capacity (mWh),2020-11-20 09:15:23.236,69720
2887,Battery Cycle Count,2020-11-20 09:15:23.236,12
2888,Battery Left (%).,2020-11-20 09:15:23.304,74
2889,Battery Flag,2020-11-20 09:15:23.304,1
2890,Battery Life Time (Seconds).,2020-11-20 09:15:23.304,17769
2891,Battery Charging.,2020-11-20 09:15:23.304,0
2892,Battery Discharging.,2020-11-20 09:15:23.304,1
2893,Battery MaxCapacity (mWh).,2020-11-20 09:15:23.304,69720
2894,Battery estimatedTime (Seconds).,2020-11-20 09:15:23.304,17769
2895,Battery Current Capacity (mWh),2020-11-20 09:15:23.304,51910
2896,Battery Voltage (mv),2020-11-20 09:15:23.304,16062
2897,Battery Rate (mW),2020-11-20 09:15:23.304,-9990
2898,Battery Tag,2020-11-20 09:16:23.236,5
2899,Battery Designed Capacity (mWh) ,2020-11-20 09:16:23.236,70000
2900,Battery Full Charged Capacity (mWh),2020-11-20 09:16:23.236,69720
2901,Battery Cycle Count,2020-11-20 09:16:23.236,12
2902,Battery Left (%).,2020-11-20 09:16:23.303,74
2903,Battery Flag,2020-11-20 09:16:23.303,1
2904,Battery Life Time (Seconds).,2020-11-20 09:16:23.303,17769
2905,Battery Charging.,2020-11-20 09:16:23.303,0
2906,Battery Discharging.,2020-11-20 09:16:23.303,1
2907,Battery MaxCapacity (mWh).,2020-11-20 09:16:23.303,69720
2908,Battery estimatedTime (Seconds).,2020-11-20 09:16:23.303,17769
2909,Battery Current Capacity (mWh),2020-11-20 09:16:23.303,51720
2910,Battery Voltage (mv),2020-11-20 09:16:23.303,16021
2911,Battery Rate (mW),2020-11-20 09:16:23.303,-11807
2912,Battery Tag,2020-11-20 09:16:53.236,5
2913,Battery Designed Capacity (mWh) ,2020-11-20 09:16:53.236,70000
2914,Battery Full Charged Capacity (mWh),2020-11-20 09:16:53.236,69720
2915,Battery Cycle Count,2020-11-20 09:16:53.236,12
2916,Battery Left (%).,2020-11-20 09:16:53.304,74
2917,Battery Flag,2020-11-20 09:16:53.304,1
2918,Battery Life Time (Seconds).,2020-11-20 09:16:53.304,17769
2919,Battery Charging.,2020-11-20 09:16:53.304,0
2920,Battery Discharging.,2020-11-20 09:16:53.304,1
2921,Battery MaxCapacity (mWh).,2020-11-20 09:16:53.304,69720
2922,Battery estimatedTime (Seconds).,2020-11-20 09:16:53.304,17769
2923,Battery Current Capacity (mWh),2020-11-20 09:16:53.304,51630
2924,Battery Voltage (mv),2020-11-20 09:16:53.304,16047
2925,Battery Rate (mW),2020-11-20 09:16:53.304,-10478
2926,Battery Tag,2020-11-20 09:17:23.236,5
2927,Battery Designed Capacity (mWh) ,2020-11-20 09:17:23.236,70000
2928,Battery Full Charged Capacity (mWh),2020-11-20 09:17:23.236,69720
2929,Battery Cycle Count,2020-11-20 09:17:23.236,12
2930,Battery Left (%).,2020-11-20 09:17:23.304,74
2931,Battery Flag,2020-11-20 09:17:23.304,1
2932,Battery Life Time (Seconds).,2020-11-20 09:17:23.304,17769
2933,Battery Charging.,2020-11-20 09:17:23.304,0
2934,Battery Discharging.,2020-11-20 09:17:23.304,1
2935,Battery MaxCapacity (mWh).,2020-11-20 09:17:23.304,69720
2936,Battery estimatedTime (Seconds).,2020-11-20 09:17:23.304,17769
2937,Battery Current Capacity (mWh),2020-11-20 09:17:23.304,51540
2938,Battery Voltage (mv),2020-11-20 09:17:23.304,16020
2939,Battery Rate (mW),2020-11-20 09:17:23.304,-10445
2940,Battery Tag,2020-11-20 09:17:53.236,5
2941,Battery Designed Capacity (mWh) ,2020-11-20 09:17:53.236,70000
2942,Battery Full Charged Capacity (mWh),2020-11-20 09:17:53.236,69720
2943,Battery Cycle Count,2020-11-20 09:17:53.236,12
2944,Battery Left (%).,2020-11-20 09:17:53.304,74
2945,Battery Flag,2020-11-20 09:17:53.304,1
2946,Battery Life Time (Seconds).,2020-11-20 09:17:53.304,17769
2947,Battery Charging.,2020-11-20 09:17:53.304,0
2948,Battery Discharging.,2020-11-20 09:17:53.304,1
2949,Battery MaxCapacity (mWh).,2020-11-20 09:17:53.304,69720
2950,Battery estimatedTime (Seconds).,2020-11-20 09:17:53.304,17769
2951,Battery Current Capacity (mWh),2020-11-20 09:17:53.304,51470
2952,Battery Voltage (mv),2020-11-20 09:17:53.304,16016
2953,Battery Rate (mW),2020-11-20 09:17:53.304,-10298
2954,Battery Tag,2020-11-20 09:18:23.235,5
2955,Battery Designed Capacity (mWh) ,2020-11-20 09:18:23.235,70000
2956,Battery Full Charged Capacity (mWh),2020-11-20 09:18:23.235,69720
2957,Battery Cycle Count,2020-11-20 09:18:23.235,12
2958,Battery Left (%).,2020-11-20 09:18:23.303,74
2959,Battery Flag,2020-11-20 09:18:23.303,1
2960,Battery Life Time (Seconds).,2020-11-20 09:18:23.303,17769
2961,Battery Charging.,2020-11-20 09:18:23.303,0
2962,Battery Discharging.,2020-11-20 09:18:23.303,1
2963,Battery MaxCapacity (mWh).,2020-11-20 09:18:23.303,69720
2964,Battery estimatedTime (Seconds).,2020-11-20 09:18:23.303,17769
2965,Battery Current Capacity (mWh),2020-11-20 09:18:23.303,51360
2966,Battery Voltage (mv),2020-11-20 09:18:23.303,16001
2967,Battery Rate (mW),2020-11-20 09:18:23.303,-12496
2968,Battery Tag,2020-11-20 09:18:53.235,5
2969,Battery Designed Capacity (mWh) ,2020-11-20 09:18:53.235,70000
2970,Battery Full Charged Capacity (mWh),2020-11-20 09:18:53.235,69720
2971,Battery Cycle Count,2020-11-20 09:18:53.235,12
2972,Battery Left (%).,2020-11-20 09:18:53.303,74
2973,Battery Flag,2020-11-20 09:18:53.303,1
2974,Battery Life Time (Seconds).,2020-11-20 09:18:53.303,17769
2975,Battery Charging.,2020-11-20 09:18:53.303,0
2976,Battery Discharging.,2020-11-20 09:18:53.303,1
2977,Battery MaxCapacity (mWh).,2020-11-20 09:18:53.303,69720
2978,Battery estimatedTime (Seconds).,2020-11-20 09:18:53.303,17769
2979,Battery Current Capacity (mWh),2020-11-20 09:18:53.303,51270
2980,Battery Voltage (mv),2020-11-20 09:18:53.303,16028
2981,Battery Rate (mW),2020-11-20 09:18:53.303,-10145
2982,Battery Tag,2020-11-20 09:19:23.235,5
2983,Battery Designed Capacity (mWh) ,2020-11-20 09:19:23.235,70000
2984,Battery Full Charged Capacity (mWh),2020-11-20 09:19:23.235,69720
2985,Battery Cycle Count,2020-11-20 09:19:23.235,12
2986,Battery Left (%).,2020-11-20 09:19:23.303,73
2987,Battery Flag,2020-11-20 09:19:23.303,1
2988,Battery Life Time (Seconds).,2020-11-20 09:19:23.303,18946
2989,Battery Charging.,2020-11-20 09:19:23.303,0
2990,Battery Discharging.,2020-11-20 09:19:23.303,1
2991,Battery MaxCapacity (mWh).,2020-11-20 09:19:23.303,69720
2992,Battery estimatedTime (Seconds).,2020-11-20 09:19:23.303,18946
2993,Battery Current Capacity (mWh),2020-11-20 09:19:23.303,51190
2994,Battery Voltage (mv),2020-11-20 09:19:23.303,16026
2995,Battery Rate (mW),2020-11-20 09:19:23.303,-9583
2996,Battery Tag,2020-11-20 09:19:53.235,5
2997,Battery Designed Capacity (mWh) ,2020-11-20 09:19:53.235,70000
2998,Battery Full Charged Capacity (mWh),2020-11-20 09:19:53.235,69720
2999,Battery Cycle Count,2020-11-20 09:19:53.235,12
3000,Battery Left (%).,2020-11-20 09:19:53.302,73
3001,Battery Flag,2020-11-20 09:19:53.302,1
3002,Battery Life Time (Seconds).,2020-11-20 09:19:53.302,18946
3003,Battery Charging.,2020-11-20 09:19:53.302,0
3004,Battery Discharging.,2020-11-20 09:19:53.302,1
3005,Battery MaxCapacity (mWh).,2020-11-20 09:19:53.302,69720
3006,Battery estimatedTime (Seconds).,2020-11-20 09:19:53.302,18946
3007,Battery Current Capacity (mWh),2020-11-20 09:19:53.302,51100
3008,Battery Voltage (mv),2020-11-20 09:19:53.302,16035
3009,Battery Rate (mW),2020-11-20 09:19:53.302,-10374
3010,Battery Tag,2020-11-20 09:20:23.234,5
3011,Battery Designed Capacity (mWh) ,2020-11-20 09:20:23.234,70000
3012,Battery Full Charged Capacity (mWh),2020-11-20 09:20:23.234,69720
3013,Battery Cycle Count,2020-11-20 09:20:23.234,12
3014,Battery Left (%).,2020-11-20 09:20:23.302,73
3015,Battery Flag,2020-11-20 09:20:23.302,1
3016,Battery Life Time (Seconds).,2020-11-20 09:20:23.302,18946
3017,Battery Charging.,2020-11-20 09:20:23.302,0
3018,Battery Discharging.,2020-11-20 09:20:23.302,1
3019,Battery MaxCapacity (mWh).,2020-11-20 09:20:23.302,69720
3020,Battery estimatedTime (Seconds).,2020-11-20 09:20:23.302,18946
3021,Battery Current Capacity (mWh),2020-11-20 09:20:23.302,51020
3022,Battery Voltage (mv),2020-11-20 09:20:23.302,16018
3023,Battery Rate (mW),2020-11-20 09:20:23.302,-10587
